brand;country;currency;customers_per_day;outlet_id;week_id;weekday;sales_per_day
MediaMarkt;spain;EURO;3138.0;100.0;34.0;sat;72169.14
Saturn;germany;EURO;378.0;86.0;8.0;mon;52825.62
MediaMarkt;italy;EURO;379.0;530.0;28.0;thu;53309.83
Saturn;germany;EURO;3050.0;17.0;47.0;sat;74237.45
MediaMarkt;spain;EURO;548.0;164.0;7.0;tue;56621.61
MediaMarkt;austria;EURO;1424.0;399.0;7.0;fri;59294.79
MediaMarkt;italy;EURO;479.0;598.0;46.0;thu;61603.64
MediaMarkt;austria;EURO;2028.0;342.0;36.0;sat;-999999.0
MediaMarkt;germany;EURO;1425.0;56.0;46.0;fri;62742.69
MediaMarkt;switzerland;CHF;266.0;477.0;10.0;mon;51922.36
Saturn;netherlands;EURO;3143.0;601.0;49.0;sat;81088.06
MediaMarkt;italy;EURO;434.0;555.0;51.0;mon;56569.48
MediaMarkt;italy;EURO;3108.0;509.0;20.0;sat;70937.61
Saturn;italy;EURO;2916.0;588.0;48.0;sat;75997.54
MediaMarkt;germany;EURO;381.0;99.0;40.0;mon;64217.82
Saturn;spain;EURO;1985.0;187.0;28.0;fri;59365.84
MediaMarkt;germany;EURO;642.0;95.0;44.0;tue;52912.65
Saturn;austria;EURO;2759.0;333.0;12.0;sat;81221.75
MediaMarkt;italy;EURO;402.0;598.0;36.0;thu;65802.13
MediaMarkt;germany;EURO;483.0;14.0;32.0;tue;59400.92
Saturn;spain;EURO;1245.0;108.0;46.0;wed;65849.28
MediaMarkt;austria;EURO;0.0;334.0;26.0;sun;0.0
Saturn;netherlands;EURO;889.0;698.0;20.0;wed;61416.18
MediaMarkt;germany;EURO;330.0;59.0;12.0;mon;49898.06
Saturn;italy;EURO;219.0;588.0;45.0;mon;59744.13
Saturn;spain;EURO;359.0;108.0;4.0;mon;56665.35
MediaMarkt;austria;EURO;2137.0;334.0;20.0;sat;65112.56
Saturn;netherlands;EURO;1563.0;601.0;35.0;fri;54508.45
MediaMarkt;italy;EURO;566.0;530.0;15.0;thu;60769.09
Saturn;austria;EURO;825.0;301.0;49.0;tue;59465.51
Saturn;germany;EURO;1724.0;17.0;29.0;fri;59291.87
MediaMarkt;spain;EURO;341.0;100.0;41.0;mon;56629.88
Saturn;germany;EURO;1337.0;81.0;27.0;fri;56524.51
MediaMarkt;netherlands;EURO;1840.0;694.0;5.0;sat;69307.99
MediaMarkt;germany;EURO;866.0;99.0;48.0;thu;59892.14
MediaMarkt;germany;EURO;524.0;56.0;9.0;tue;53476.03
MediaMarkt;germany;EURO;2239.0;52.0;38.0;sat;74059.19
MediaMarkt;austria;EURO;0.0;342.0;45.0;sun;0.0
MediaMarkt;spain;EURO;883.0;142.0;51.0;tue;49562.91
Saturn;spain;EURO;562.0;112.0;49.0;tue;55971.82
MediaMarkt;austria;EURO;312.0;339.0;29.0;thu;61073.84
Saturn;italy;EURO;0.0;588.0;26.0;sun;0.0
MediaMarkt;netherlands;EURO;2120.0;694.0;4.0;sat;71949.38
MediaMarkt;netherlands;EURO;2152.0;694.0;32.0;fri;53312.6
Saturn;italy;EURO;412.0;582.0;25.0;tue;50168.48
Saturn;netherlands;EURO;241.0;601.0;28.0;mon;53512.84
Saturn;italy;EURO;0.0;582.0;21.0;sun;0.0
Saturn;germany;EURO;313.0;86.0;27.0;thu;58143.35
MediaMarkt;italy;EURO;1702.0;551.0;40.0;fri;50171.09
Saturn;austria;EURO;0.0;301.0;4.0;sun;0.0
MediaMarkt;spain;EURO;0.0;164.0;37.0;sun;0.0
Saturn;germany;EURO;392.0;81.0;43.0;thu;63160.54
MediaMarkt;spain;EURO;331.0;100.0;21.0;tue;63448.32
Saturn;spain;EURO;398.0;112.0;40.0;thu;59089.6
MediaMarkt;germany;EURO;1771.0;79.0;15.0;fri;61095.97
MediaMarkt;germany;EURO;345.0;14.0;46.0;tue;58423.95
MediaMarkt;austria;EURO;0.0;342.0;31.0;sun;0.0
MediaMarkt;germany;EURO;2027.0;74.0;26.0;fri;53340.68
MediaMarkt;germany;EURO;376.0;52.0;46.0;thu;62482.76
MediaMarkt;spain;EURO;1374.0;142.0;40.0;wed;67193.91
MediaMarkt;italy;EURO;925.0;555.0;48.0;thu;53515.63
Saturn;netherlands;EURO;0.0;601.0;11.0;sun;0.0
Saturn;italy;EURO;321.0;582.0;33.0;thu;63706.16
Saturn;italy;EURO;410.0;588.0;34.0;thu;51283.18
Saturn;spain;EURO;0.0;108.0;47.0;sun;0.0
MediaMarkt;austria;EURO;438.0;363.0;32.0;tue;58152.85
MediaMarkt;germany;EURO;1214.0;95.0;10.0;fri;58340.99
Saturn;spain;EURO;1676.0;187.0;23.0;fri;56928.92
MediaMarkt;netherlands;EURO;295.0;608.0;36.0;mon;58374.86
MediaMarkt;greece;EURO;337.0;234.0;34.0;mon;58503.49
Saturn;germany;EURO;2562.0;86.0;39.0;sat;76216.98
Saturn;netherlands;EURO;2122.0;698.0;24.0;fri;59112.97
MediaMarkt;austria;EURO;366.0;399.0;32.0;tue;55543.28
MediaMarkt;switzerland;CHF;2237.0;408.0;38.0;fri;64555.76
